time_interval,location,co_occurrence_frequency
1625_1629,malacca,1
1640_1644,maine,2
1645_1649,ambala,2
1645_1649,denver,1
1645_1649,granada,1
1645_1649,maine,1
1645_1649,niger,1
1645_1649,oregon,1
1645_1649,regina,1
1650_1654,barbados,1
1650_1654,boise,1
1650_1654,denver,1
1650_1654,ganges,1
1650_1654,maine,1
1650_1654,new england,1
1650_1654,regina,1
1650_1654,silk,1
1660_1664,niagara,1
1665_1669,dallas,1
1665_1669,ganges,1
1670_1674,maine,1
1675_1679,ambala,1
1675_1679,maine,1
1680_1684,honduras,1
1680_1684,maine,1
1680_1684,tobago,1
1685_1689,silk,2
1690_1694,alaska,1
1690_1694,hartford,1
1690_1694,honduras,1
1690_1694,maine,1
1690_1694,silk,5
1690_1694,toronto,1
1695_1699,bahamas,2
1695_1699,baltimore,1
1695_1699,barbados,2
1695_1699,belize,1
1695_1699,cayes,1
1695_1699,chennai,1
1695_1699,honduras,1
1695_1699,idaho,2
1695_1699,kingston,1
1695_1699,maine,1
1695_1699,miami,1
1695_1699,new york,1
1695_1699,newfoundland,2
1695_1699,regina,1
1695_1699,silk,7
1695_1699,tobago,1
1695_1699,virginia,1
1700_1704,acton,1
1700_1704,ambala,1
1700_1704,baltimore,1
1700_1704,barbados,3
1700_1704,bengal,1
1700_1704,boston,1
1700_1704,carrier,1
1700_1704,cayes,3
1700_1704,lucknow,1
1700_1704,madras,1
1700_1704,maine,4
1700_1704,malacca,2
1700_1704,miami,2
1700_1704,mobile,1
1700_1704,new york,3
1700_1704,newfoundland,3
1700_1704,niagara,1
1700_1704,silk,12
1700_1704,tobago,1
1700_1704,virginia,6
1705_1709,alexandria,1
1705_1709,baltimore,3
1705_1709,barbados,1
1705_1709,bengal,1
1705_1709,bihar,1
1705_1709,boston,2
1705_1709,carrier,1
1705_1709,cayes,1
1705_1709,madura,1
1705_1709,maine,3
1705_1709,maryland,1
1705_1709,miami,1
1705_1709,new york,2
1705_1709,newfoundland,3
1705_1709,raleigh,1
1705_1709,silk,4
1705_1709,surat,1
1705_1709,texas,1
1705_1709,virginia,8
1710_1714,accra,1
1710_1714,austin,5
1710_1714,baltimore,4
1710_1714,barbados,1
1710_1714,bengal,5
1710_1714,boston,2
1710_1714,carrier,1
1710_1714,dallas,1
1710_1714,frankfort,2
1710_1714,ganges,1
1710_1714,idaho,1
1710_1714,indiana,1
1710_1714,kingston,2
1710_1714,louisiana,1
1710_1714,lucknow,1
1710_1714,madras,4
1710_1714,maine,3
1710_1714,maryland,5
1710_1714,mobile,1
1710_1714,new england,8
1710_1714,new mexico,1
1710_1714,new york,1
1710_1714,newfoundland,16
1710_1714,niger,2
1710_1714,seattle,1
1710_1714,silk,19
1710_1714,surat,5
1710_1714,trinidad,1
1710_1714,vermont,1
1710_1714,virginia,7
1715_1719,alexandria,1
1715_1719,ambala,1
1715_1719,austin,3
1715_1719,bahamas,3
1715_1719,barbados,11
1715_1719,bengal,1
1715_1719,ceylon,2
1715_1719,cleveland,1
1715_1719,delaware,1
1715_1719,delhi,1
