time_interval,location,co_occurrence_frequency
1620_1624,ambala,1
1645_1649,calicut,1
1650_1654,alexandria,1
1650_1654,barbados,1
1665_1669,ambala,1
1665_1669,barbados,1
1665_1669,granada,1
1665_1669,maine,1
1665_1669,tobago,2
1670_1674,madras,1
1675_1679,ambala,1
1675_1679,barbados,1
1675_1679,maine,1
1675_1679,silk,1
1675_1679,surat,1
1675_1679,tobago,1
1675_1679,virginia,1
1680_1684,ambala,1
1680_1684,barbados,1
1680_1684,camden,1
1680_1684,florida,1
1680_1684,ganges,2
1680_1684,hartford,1
1680_1684,maine,1
1680_1684,silk,4
1680_1684,virginia,2
1685_1689,acton,1
1685_1689,alexandria,1
1685_1689,boston,1
1685_1689,colorado,1
1685_1689,illinois,1
1685_1689,maine,2
1685_1689,new haven,1
1685_1689,silk,3
1690_1694,atlanta,1
1690_1694,barbados,4
1690_1694,carrier,1
1690_1694,maine,1
1690_1694,patna,1
1690_1694,virginia,1
1695_1699,acadia,1
1695_1699,alexandria,4
1695_1699,bahamas,1
1695_1699,barbados,1
1695_1699,gambia,1
1695_1699,ganges,1
1695_1699,maine,5
1695_1699,raleigh,2
1700_1704,alaska,1
1700_1704,ambala,1
1700_1704,arapaho,2
1700_1704,arizona,1
1700_1704,atlanta,1
1700_1704,bahamas,2
1700_1704,barbados,6
1700_1704,boston,2
1700_1704,carrier,3
1700_1704,cayes,2
1700_1704,ceylon,1
1700_1704,delhi,1
1700_1704,detroit,1
1700_1704,florida,2
1700_1704,frankfort,1
1700_1704,gambia,1
1700_1704,ganges,1
1700_1704,indiana,1
1700_1704,madura,1
1700_1704,maine,3
1700_1704,malacca,1
1700_1704,maryland,3
1700_1704,mobile,1
1700_1704,new england,2
1700_1704,new york,2
1700_1704,niger,1
1700_1704,ottawa,1
1700_1704,silk,1
1700_1704,st louis,1
1700_1704,texas,1
1700_1704,virginia,6
1705_1709,alberta,1
1705_1709,alexandria,1
1705_1709,barbados,5
1705_1709,bhopal,1
1705_1709,cayes,1
1705_1709,frankfort,1
1705_1709,gambia,3
1705_1709,maine,5
1705_1709,malacca,2
1705_1709,maryland,2
1705_1709,miami,1
1705_1709,mobile,1
1705_1709,new england,4
1705_1709,new york,1
1705_1709,niger,1
1705_1709,silk,3
1705_1709,surat,1
1705_1709,tobago,1
1705_1709,virginia,4
1710_1714,alexandria,4
1710_1714,baltimore,3
1710_1714,barbados,21
1710_1714,boston,2
1710_1714,carrier,1
1710_1714,cayes,2
1710_1714,dallas,1
1710_1714,florida,1
1710_1714,gambia,1
1710_1714,jaipur,1
1710_1714,kingston,8
1710_1714,louisiana,1
1710_1714,mackenzie,3
1710_1714,madras,1
1710_1714,madura,2
1710_1714,maine,11
1710_1714,maryland,1
