time_interval,location,co_occurrence_frequency
1620_1624,camden,1
1620_1624,frankfort,1
1640_1644,camden,1
1645_1649,acton,2
1645_1649,austin,1
1645_1649,bengal,1
1645_1649,dallas,1
1645_1649,delhi,1
1645_1649,hartford,2
1645_1649,maine,5
1645_1649,niger,1
1645_1649,regina,1
1650_1654,alabama,1
1650_1654,ambala,1
1650_1654,barbados,4
1650_1654,carrier,1
1650_1654,ganges,3
1650_1654,maine,8
1650_1654,new england,1
1650_1654,newfoundland,1
1650_1654,silk,2
1650_1654,texas,1
1655_1659,silk,1
1660_1664,calgary,1
1660_1664,carrier,1
1665_1669,ambala,2
1665_1669,barbados,4
1665_1669,boston,1
1665_1669,cayes,1
1665_1669,kingston,1
1665_1669,miami,2
1665_1669,mobile,1
1665_1669,new england,1
1670_1674,barbados,2
1670_1674,belize,1
1670_1674,madras,1
1670_1674,maine,1
1670_1674,silk,2
1670_1674,vermont,1
1670_1674,virginia,1
1675_1679,arizona,1
1675_1679,barbados,2
1675_1679,maine,4
1675_1679,new england,1
1675_1679,silk,3
1675_1679,virginia,1
1680_1684,acton,1
1680_1684,alabama,1
1680_1684,ambala,2
1680_1684,barbados,4
1680_1684,denver,1
1680_1684,ganges,1
1680_1684,idaho,1
1680_1684,maine,6
1680_1684,mobile,1
1680_1684,niger,1
1680_1684,regina,1
1680_1684,silk,5
1680_1684,texas,1
1680_1684,tobago,1
1685_1689,ambala,1
1685_1689,barbados,1
1685_1689,carrier,1
1685_1689,frankfort,1
1685_1689,maine,2
1685_1689,mobile,1
1685_1689,perak,1
1685_1689,silk,1
1685_1689,whitehorse,1
1690_1694,barbados,13
1690_1694,biloxi,1
1690_1694,boston,1
1690_1694,daman,1
1690_1694,ganges,1
1690_1694,honduras,1
1690_1694,maine,2
1690_1694,maryland,1
1690_1694,new england,3
1690_1694,newfoundland,1
1690_1694,silk,1
1690_1694,st lucia,1
1690_1694,trinidad,1
1690_1694,virginia,5
1695_1699,alexandria,1
1695_1699,baltimore,1
1695_1699,barbados,78
1695_1699,bengal,1
1695_1699,biloxi,1
1695_1699,boise,2
1695_1699,boston,10
1695_1699,carrier,2
1695_1699,cayes,1
1695_1699,ceylon,1
1695_1699,chennai,1
1695_1699,cleveland,1
1695_1699,fort william,1
1695_1699,houston,1
1695_1699,hubli,1
1695_1699,hurling,2
1695_1699,idaho,3
1695_1699,indore,1
1695_1699,maine,20
1695_1699,manipur,1
1695_1699,miami,1
1695_1699,montana,1
1695_1699,nevada,1
1695_1699,new england,14
1695_1699,newfoundland,27
1695_1699,ontario,1
1695_1699,oregon,1
1695_1699,silk,3
1695_1699,st louis,1
1695_1699,tobago,1
1695_1699,tucson,1
1695_1699,virginia,22
1700_1704,abuja,1
1700_1704,acton,35
1700_1704,ambala,2
1700_1704,austin,1
1700_1704,baltimore,7
1700_1704,barbados,36
1700_1704,bengal,1
1700_1704,bihar,1
1700_1704,biloxi,2
1700_1704,boston,7
1700_1704,camden,1
1700_1704,carrier,1
1700_1704,cleveland,1
1700_1704,denver,2
