time_interval,location,co_occurrence_frequency
1640_1644,bengal,1
1640_1644,cayes,1
1640_1644,hartford,1
1640_1644,maine,5
1640_1644,virginia,1
1645_1649,maine,3
1645_1649,regina,1
1650_1654,barbados,1
1650_1654,carrier,1
1650_1654,maine,4
1650_1654,new england,1
1650_1654,virginia,5
1660_1664,bihar,1
1660_1664,maine,1
1660_1664,silk,1
1660_1664,tucson,1
1665_1669,barbados,2
1665_1669,boston,1
1665_1669,denver,1
1665_1669,maine,1
1665_1669,miami,1
1665_1669,virginia,5
1670_1674,boise,1
1670_1674,boston,1
1670_1674,madras,1
1670_1674,maine,1
1670_1674,maryland,2
1670_1674,texas,1
1670_1674,virginia,3
1675_1679,atlanta,1
1675_1679,barbados,1
1675_1679,delhi,1
1675_1679,maine,3
1675_1679,maryland,1
1675_1679,new england,2
1675_1679,newfoundland,1
1675_1679,silk,1
1675_1679,virginia,10
1680_1684,ambala,2
1680_1684,barbados,1
1680_1684,denver,1
1680_1684,ganges,1
1680_1684,kingston,1
1680_1684,maine,4
1680_1684,maryland,3
1680_1684,new england,2
1680_1684,newfoundland,1
1680_1684,niger,1
1680_1684,silk,2
1680_1684,tobago,1
1680_1684,virginia,11
1685_1689,houston,1
1685_1689,kingston,1
1685_1689,maine,1
1685_1689,virginia,1
1690_1694,barbados,3
1690_1694,boston,1
1690_1694,calgary,1
1690_1694,ceylon,1
1690_1694,halifax,1
1690_1694,hartford,1
1690_1694,maine,2
1690_1694,silk,6
1690_1694,texas,1
1690_1694,virginia,7
1695_1699,abuja,2
1695_1699,ambala,2
1695_1699,baltimore,3
1695_1699,barbados,22
1695_1699,boston,5
1695_1699,carrier,1
1695_1699,ceylon,1
1695_1699,edmonton,1
1695_1699,florida,1
1695_1699,fort william,1
1695_1699,ganges,1
1695_1699,hartford,1
1695_1699,houston,1
1695_1699,madras,1
1695_1699,maine,11
1695_1699,maryland,8
1695_1699,miami,1
1695_1699,milwaukee,1
1695_1699,mobile,1
1695_1699,montreal,1
1695_1699,new england,3
1695_1699,newfoundland,12
1695_1699,pennsylvania,1
1695_1699,philadelphia,1
1695_1699,silk,6
1695_1699,sokoto,1
1695_1699,st louis,1
1695_1699,tobago,1
1695_1699,virginia,70
1695_1699,whitehorse,3
1700_1704,ambala,1
1700_1704,atlanta,1
1700_1704,baltimore,3
1700_1704,barbados,4
1700_1704,boston,1
1700_1704,cayes,1
1700_1704,ceylon,1
1700_1704,denver,1
1700_1704,florida,2
1700_1704,ganges,2
1700_1704,harrisburg,1
1700_1704,indore,1
1700_1704,madras,2
1700_1704,maine,12
1700_1704,malacca,2
1700_1704,maryland,8
1700_1704,mobile,1
1700_1704,new england,5
1700_1704,new york,3
1700_1704,newfoundland,2
1700_1704,orissa,1
1700_1704,patna,1
1700_1704,philadelphia,3
1700_1704,regina,1
1700_1704,shillong,1
1700_1704,silk,8
1700_1704,surat,1
1700_1704,tucson,1
1700_1704,virginia,36
1705_1709,ambala,1
1705_1709,baltimore,7
1705_1709,barbados,1
1705_1709,bengal,2
1705_1709,bihar,1
1705_1709,boise,1
1705_1709,boston,5
1705_1709,calgary,1
1705_1709,carrier,2
1705_1709,cayes,1
1705_1709,chicago,1
1705_1709,dallas,2
1705_1709,florida,1
1705_1709,guiana,1
1705_1709,houston,1
1705_1709,hurling,1
1705_1709,maine,10
1705_1709,maryland,7
1705_1709,miami,1
1705_1709,nagpur,1
1705_1709,new england,4
1705_1709,newfoundland,7
1705_1709,ottawa,1
1705_1709,philadelphia,3
1705_1709,raleigh,1
1705_1709,silk,11
1705_1709,south carolina,1
1705_1709,surat,1
1705_1709,texas,1
1705_1709,tobago,2
1705_1709,virginia,48
1710_1714,abuja,1
1710_1714,accra,1
1710_1714,ambala,1
1710_1714,bahamas,2
1710_1714,baltimore,4
1710_1714,barbados,2
1710_1714,boston,4
1710_1714,carrier,3
1710_1714,delhi,1
1710_1714,edmonton,1
1710_1714,florida,2
1710_1714,ganges,5
1710_1714,halifax,3
1710_1714,hartford,2
1710_1714,hubli,1
1710_1714,hurling,1
1710_1714,indiana,1
1710_1714,lansing,1
1710_1714,madura,2
1710_1714,maine,14
1710_1714,maryland,9
1710_1714,miami,1
1710_1714,mobile,2
1710_1714,new england,4
1710_1714,newfoundland,6
1710_1714,ontario,1
1710_1714,oregon,1
1710_1714,pennsylvania,1
1710_1714,philadelphia,2
1710_1714,raleigh,1
1710_1714,silk,39
1710_1714,south carolina,1
1710_1714,sudbury,1
1710_1714,surat,1
1710_1714,texas,1
1710_1714,tobago,2
1710_1714,topeka,1
1710_1714,virginia,127
1710_1714,whitehorse,3
1715_1719,alberta,1
1715_1719,alexandria,6
1715_1719,ambala,3
1715_1719,atlanta,1
1715_1719,austin,3
1715_1719,bahamas,3
1715_1719,barbados,30
1715_1719,boston,10
1715_1719,calabar,1
1715_1719,camden,1
1715_1719,carrier,1
1715_1719,cayes,3
1715_1719,ceylon,2
1715_1719,cleveland,1
1715_1719,dallas,1
1715_1719,delaware,1
1715_1719,delhi,1
1715_1719,florida,6
1715_1719,frankfort,6
1715_1719,ganges,1
1715_1719,hartford,1
1715_1719,honduras,4
1715_1719,houston,1
1715_1719,idaho,1
1715_1719,illinois,1
1715_1719,indore,1
1715_1719,louisiana,3
1715_1719,madras,2
1715_1719,madura,1
1715_1719,madurai,1
1715_1719,maine,20
1715_1719,maryland,21
1715_1719,miami,1
1715_1719,mississippi,8
1715_1719,mobile,2
1715_1719,new england,21
1715_1719,new haven,2
1715_1719,new york,9
1715_1719,newfoundland,11
1715_1719,niger,1
1715_1719,north carolina,8
1715_1719,oregon,2
1715_1719,penang,1
1715_1719,pennsylvania,1
1715_1719,philadelphia,4
1715_1719,silk,48
1715_1719,south carolina,3
1715_1719,texas,2
1715_1719,tobago,1
1715_1719,topeka,1
1715_1719,tucson,1
1715_1719,vermont,1
1715_1719,virginia,63
1715_1719,whitehorse,1
1720_1724,accra,1
1720_1724,alexandria,2
1720_1724,ambala,6
1720_1724,arizona,1
1720_1724,atlanta,1
1720_1724,austin,5
1720_1724,baltimore,3
1720_1724,barbados,18
1720_1724,belize,3
1720_1724,bihar,2
1720_1724,biloxi,1
1720_1724,boise,1
1720_1724,boston,20
1720_1724,camden,10
1720_1724,carrier,4
1720_1724,cayes,5
1720_1724,ceylon,1
1720_1724,colombo,1
1720_1724,colorado,1
1720_1724,dallas,1
1720_1724,deccan,2
1720_1724,delaware,1
1720_1724,delhi,3
1720_1724,dominica,1
1720_1724,florida,2
1720_1724,frankfort,3
1720_1724,ganges,6
1720_1724,granada,1
1720_1724,guiana,1
1720_1724,honduras,3
1720_1724,idaho,3
1720_1724,illinois,1
1720_1724,kingston,2
1720_1724,knoxville,2
1720_1724,madras,7
1720_1724,maine,62
1720_1724,malacca,1
1720_1724,maryland,42
1720_1724,miami,9
1720_1724,mississippi,5
1720_1724,mobile,4
1720_1724,montana,1
